Data Point,Anomaly Label
-0.15,0.0
-0.18,0.0
-0.16,0.0
-0.15,0.0
-0.15,0.0
-0.14,0.0
-0.14,0.0
-0.15,0.0
-0.13,0.0
0.05,0.0
0.34,0.0
0.72,0.0
-1.34,0.0
-1.97,0.0
-1.62,0.0
-1.35,0.0
-0.54,0.0
-0.15,0.0
-0.08,0.0
-0.07,0.0
-0.03,0.0
-0.01,0.0
0.01,0.0
0.01,0.0
0.04,0.0
0.03,0.0
0.04,0.0
0.08,0.0
0.08,0.0
0.1,0.0
0.12,0.0
0.14,0.0
0.15,0.0
0.2,0.0
0.2,0.0
0.2,0.0
0.25,0.0
0.23,0.0
0.23,0.0
0.25,0.0
0.23,0.0
0.21,0.0
0.19,0.0
0.18,0.0
0.11,0.0
0.08,0.0
0.05,0.0
0.02,0.0
0.01,0.0
-0.04,0.0
-0.01,0.0
-0.02,0.0
-0.03,0.0
-0.01,0.0
0.0,0.0
-0.02,0.0
-0.03,0.0
-0.04,0.0
-0.03,0.0
-0.03,0.0
-0.02,0.0
-0.02,0.0
-0.02,0.0
-0.02,0.0
-0.02,0.0
-0.01,0.0
-0.01,0.0
-0.02,0.0
-0.01,0.0
-0.02,0.0
-0.03,0.0
-0.04,0.0
-0.03,0.0
-0.03,0.0
-0.02,0.0
-0.05,0.0
-0.06,0.0
-0.04,0.0
-0.06,0.0
-0.07,0.0
-0.09,0.0
-0.08,0.0
-0.06,0.0
-0.1,0.0
-0.11,0.0
-0.1,0.0
-0.12,0.0
-0.1,0.0
-0.1,0.0
-0.07,0.0
-0.05,0.0
-0.08,0.0
-0.01,0.0
-0.02,0.0
0.05,0.0
-0.02,0.0
-0.1,0.0
-0.13,0.0
-0.21,0.0
-0.2,0.0
-0.2,0.0
-0.18,0.0
-0.18,0.0
-0.18,0.0
-0.19,0.0
-0.2,0.0
-0.16,0.0
0.17,0.0
0.5,0.0
0.3,0.0
-1.59,0.0
-1.67,0.0
-1.28,0.0
-0.82,0.0
-0.44,0.0
-0.12,0.0
-0.16,0.0
-0.13,0.0
-0.09,0.0
-0.08,0.0
-0.05,0.0
-0.07,0.0
-0.03,0.0
-0.03,0.0
-0.04,0.0
-0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.05,0.0
0.02,0.0
0.04,0.0
0.07,0.0
0.07,0.0
0.07,0.0
0.09,0.0
0.09,0.0
0.09,0.0
0.07,0.0
0.1,0.0
0.08,0.0
0.04,0.0
0.04,0.0
-0.01,0.0
-0.01,0.0
-0.02,0.0
-0.05,0.0
-0.08,0.0
-0.07,0.0
-0.09,0.0
-0.11,0.0
-0.1,0.0
-0.1,0.0
-0.12,0.0
-0.12,0.0
-0.12,0.0
-0.12,0.0
-0.11,0.0
-0.12,0.0
-0.1,0.0
-0.11,0.0
-0.1,0.0
-0.11,0.0
-0.12,0.0
-0.1,0.0
-0.11,0.0
-0.1,0.0
-0.12,0.0
-0.12,0.0
-0.12,0.0
-0.12,0.0
-0.15,0.0
-0.12,0.0
-0.14,0.0
-0.13,0.0
-0.13,0.0
-0.15,0.0
-0.13,0.0
-0.14,0.0
-0.14,0.0
-0.15,0.0
-0.14,0.0
-0.13,0.0
-0.11,0.0
-0.08,0.0
-0.09,0.0
-0.06,0.0
-0.03,0.0
0.04,0.0
0.02,0.0
-0.05,0.0
-0.06,0.0
-0.15,0.0
-0.19,0.0
-0.19,0.0
-0.17,0.0
-0.19,0.0
-0.17,0.0
-0.2,0.0
-0.18,0.0
-0.18,0.0
0.08,0.0
0.38,0.0
0.62,0.0
-1.16,0.0
-1.69,0.0
-1.45,0.0
